route,case,repetitions,expected_rejection,actual_rejection_matches,application_effects,validated
HL,concurrent_replay,30,AlreadyConsumed,30,30,30
HL,context_tamper,30,InvalidRootSignature,30,0,30
HL,cross_execution_splice,30,BundleRejected,30,0,30
HL,evidence_tamper,30,EvidenceRejected,30,0,30
HL,fake_verifier,30,UnapprovedPriorVerifier,30,0,30
HL,payload_tamper,30,PayloadMismatch,30,0,30
HL,profile_inactive,30,ProfileInactive,30,0,30
HL,profile_substitution,30,ProfileInactive,30,0,30
HL,receipt_delete,30,InvalidTrace,30,0,30
HL,receipt_reorder,30,InvalidTrace,30,0,30
HL,sequential_replay,30,AlreadyConsumed,30,30,30
HL,wrong_endpoint,30,UnapprovedPriorVerifier,30,0,30
HL,wrong_registry_version,30,RootMismatch,30,0,30
LH,concurrent_replay,30,AlreadyConsumed,30,30,30
LH,context_tamper,30,InvalidRootSignature,30,0,30
LH,cross_execution_splice,30,BundleRejected,30,0,30
LH,evidence_tamper,30,EvidenceRejected,30,0,30
LH,fake_verifier,30,UnapprovedPriorVerifier,30,0,30
LH,payload_tamper,30,PayloadMismatch,30,0,30
LH,profile_inactive,30,ProfileInactive,30,0,30
LH,profile_substitution,30,ProfileInactive,30,0,30
LH,receipt_delete,30,InvalidTrace,30,0,30
LH,receipt_reorder,30,InvalidTrace,30,0,30
LH,sequential_replay,30,AlreadyConsumed,30,30,30
LH,wrong_endpoint,30,UnapprovedPriorVerifier,30,0,30
LH,wrong_registry_version,30,RootMismatch,30,0,30
