calldata_bytes_mean,calldata_bytes_p50,calldata_bytes_p95,calldata_bytes_total,dimension,end_to_end_latency_ms_mean,end_to_end_latency_ms_p50,end_to_end_latency_ms_p95,gas_mean,gas_p50,gas_p95,gas_total,group,logical_attempts,physical_transactions,runner_finalization_latency_ms_mean,runner_finalization_latency_ms_p50,runner_finalization_latency_ms_p95
260.0,260.0,260.0,7800000,by_route,7262.09989438057,7126.095771789551,8707.709550857544,59463.98,51561.0,76195.0,1783919400,HH,10000,30000,1435.4911960601808,1414.968490600586,1941.0200119018555
260.0,260.0,260.0,7800000,by_route,7274.998526620865,7124.159812927246,8705.409288406372,68228.59346666667,76267.0,77735.0,2046857804,HL,10000,30000,1435.7330206314723,1411.6182327270508,1939.61501121521
260.0,260.0,260.0,7800000,by_route,7272.727006673813,7130.376577377319,8732.008695602417,68224.61386666667,76243.0,77735.0,2046738416,LH,10000,30000,1433.9632815122604,1410.266399383545,1936.854600906372
260.0,260.0,260.0,7800000,by_route,7266.60446844101,7127.603054046631,8677.228689193726,59543.986,51645.0,76279.0,1786319580,LL,10000,30000,1432.1030036767324,1408.799171447754,1938.009262084961
260.0,260.0,260.0,15600000,by_execution_class,7273.8627666473385,7127.517223358154,8717.56887435913,68226.60366666666,76243.0,77735.0,4093596220,heterogeneous-xir,20000,60000,1434.8481510718664,1410.8917713165283,1938.2202625274658
260.0,260.0,260.0,15600000,by_execution_class,7264.35218141079,7126.837968826294,8694.933891296387,59503.983,51561.0,76279.0,3570238980,homogeneous-native,20000,60000,1433.7970998684566,1412.4772548675537,1939.3906593322754
260.0,260.0,260.0,2600000,by_route_stage,1463.5629877090455,1441.5764808654785,1977.290153503418,76190.4412,76195.0,76195.0,761904412,HH/destination,10000,10000,1455.0198514699937,1433.732509613037,1966.428279876709
260.0,260.0,260.0,2600000,by_route_stage,1442.731343436241,1423.7122535705566,1935.206651687622,51556.5276,51561.0,51561.0,515565276,HH/intermediate,10000,10000,1434.4370668411254,1415.5800342559814,1924.8833656311035
260.0,260.0,260.0,2600000,by_route_stage,1425.3105774641037,1403.7654399871826,1935.1119995117188,50644.9712,50648.0,50648.0,506449712,HH/source,10000,10000,1417.016669869423,1395.9922790527344,1926.6376495361328
260.0,260.0,260.0,2600000,by_route_stage,1460.7614139556886,1435.2660179138184,1959.197998046875,76262.416,76267.0,76267.0,762624160,HL/destination,10000,10000,1452.5176528215409,1426.9733428955078,1948.8327503204346
260.0,260.0,260.0,2600000,by_route_stage,1446.3790984153748,1425.048589706421,1950.6568908691406,77730.4412,77735.0,77735.0,777304412,HL/intermediate,10000,10000,1438.1025717258453,1417.2158241271973,1941.3318634033203
260.0,260.0,260.0,2600000,by_route_stage,1424.8149517059326,1395.148515701294,1936.8972778320312,50692.9232,50696.0,50696.0,506929232,HL/source,10000,10000,1416.5788373470307,1386.8844509124756,1929.246425628662
260.0,260.0,260.0,2600000,by_route_stage,1460.4528810024262,1435.065746307373,1952.138900756836,76238.4004,76243.0,76243.0,762384004,LH/destination,10000,10000,1452.194304895401,1427.386999130249,1943.7048435211182
260.0,260.0,260.0,2600000,by_route_stage,1443.4339862585068,1423.4189987182617,1947.6778507232666,77730.4712,77735.0,77735.0,777304712,LH/intermediate,10000,10000,1435.1612599611283,1415.3900146484375,1938.4210109710693
260.0,260.0,260.0,2600000,by_route_stage,1422.9737877368927,1398.1051445007324,1936.4526271820068,50704.97,50708.0,50708.0,507049700,LH/source,10000,10000,1414.534279680252,1389.817476272583,1925.6227016448975
260.0,260.0,260.0,2600000,by_route_stage,1460.9364587306977,1438.3840560913086,1958.8327407836914,76274.4604,76279.0,76279.0,762744604,LL/destination,10000,10000,1452.4255080461503,1430.1998615264893,1950.1094818115234
260.0,260.0,260.0,2600000,by_route_stage,1440.150011253357,1420.2277660369873,1934.1998100280762,51640.5228,51645.0,51645.0,516405228,LL/intermediate,10000,10000,1431.8776960134505,1411.548137664795,1924.837589263916
260.0,260.0,260.0,2600000,by_route_stage,1420.2232786655427,1392.744541168213,1945.2323913574219,50716.9748,50720.0,50720.0,507169748,LL/source,10000,10000,1412.0058069705963,1384.087085723877,1936.1238479614258
